"id","condition","AvgVelcoity","MaxAccel","RangeY"
"P22","A",1.53478415891934,125.899820755788,0.0305250153045647
"P22","B",0.310787426538818,59.9774849977744,0.0169220811957267
"P22","C",0.592618326991217,64.0420129773699,0.0532769071886266
"P22","D",2.51097502177807,504.689161825507,0.434948750101523
"P22","E",0.602975886168632,63.2494154708041,0.233111450965156
"P22","F",1.05380361667939,66.5514456347818,0.0676048915531066
"P22","G",0.781860203342646,64.1958989899654,0.0457017363709883
"P22","H",0.87649189241037,62.7881309047222,0.0380088450142734
"P23","A",0.289976667573599,60.8858934954341,0.00864041474762055
"P23","B",0.241953582682499,63.3144276133978,0.0127635047466728
"P23","C",0.355933432590103,61.5578153953938,0.0145467445255655
"P23","D",0.47313093005147,62.2921738021094,0.200493867150969
"P23","E",0.441921588162106,63.0028988067168,0.366927809343855
